Organismo;Conjuntos de datos;Recursos;Formatos
"Centro de Investigaciones Energéticas,, Medioambientales y Tecnológicas";5;10;"CSV, XML, XML-APP"
"Centro de Investigaciones Sociológicas";2218;5998;"ASCII, PDF"
"Centro para el Desarrollo Tecnológico Industrial";9;18;"PDF, XHTML"
"Comisionado para el Mercado de Tabacos";1;1;"XLSX"
"Comisión Nacional de los Mercados y la Competencia";21;31;"PDF, XHTML, ZIP"
"Comisión Nacional del Mercado de Valores";14;20;"PDF, XBRL, XHTML, XLSX"
"Compañia Española de Financiacion del Desarrollo Cofides,, S.A.";1;1;"XHTML"
"Comunidad Autónoma de Canarias";183;2811;"CSV, GML, HTML, JSON, KMZ, ODS, PDF, RSS, SHP, XLS, XLSX, ZIP"
"Comunidad Autónoma de Castilla-La Mancha";265;524;"CSV, HTML, JSON, PDF, SHP, XLS, XLSX, XML, ZIP"
"Comunidad Autónoma de País Vasco";6149;15471;"API, ASCII, CSV, CSW, Calendar, ECW, GeoJSON, HTML, JPG, JSON, KML, KMZ, MDB, ODS, PC-Axis, PDF, RDF-Turtle, RDF-XML, RSS, SHP, SPARQL-XML, TBX, TIFF, TMX, WCS, WMS, XLS, XLSX, XML, ZIP, vCard-XML"
"Comunidad de Madrid";181;427;"CSV, DOCX, HTML, JSON, SHP, WMS, XLSX, ZIP"
"Concello de Santiago de Compostela";34;63;"CSV, ODS, SHP, XLS"
"Confederación Hidrográfica del Guadalquivir";52;619;"HTML, JPG, KMZ, ODS, PDF, PNG, SHP, TIFF, WCS, WFS, WMS, ZIP"
"Confederación Hidrográfica del Júcar";13;50;"CSV, HTML, PDF, SHP, XML, XML-APP"
"Consorcio de la Zona Franca de Cádiz";4;4;"XHTML"
"Consorcio de la Zona Franca de Vigo";4;4;"XHTML"
"Diputación Foral de Bizkaia";168;2708;"API, CSV, JSON, RDF-Turtle, RDF-XML, RSS, XLSX, XML"
"Diputación Foral de Gipuzkoa";399;1753;"API, CSV, JPG, JSON, KML, ODS, PDF, RDF-Turtle, RDF-XML, RSS, TMX, XLS, XLSX, XML"
"Diputación Provincial de Barcelona";53;313;"API, CSV, HTML, JSON, KMZ, PDF, RDF-XML, RSS, SHP, WMS, XLS, XML, ZIP"
"Diputación Provincial de Castelló/Castellón";67;682;"CSV, GML, JSON, JSON-LD, KML, KMZ, OCTET-STREAM, RDF-N3, RDF-Turtle, RDF-XML, SHP, XLS, XLSX, XML, plain"
"Diputación Provincial de Cádiz";52;428;"Atom, CSV, GML, HTML, JSON, JSON-LD, KML, ODS, RDF-N3, RDF-Turtle, RDF-XML, RSS, SHP, WMS, XLS, XML-APP"
"Diputación de Pontevedra";28;31;"SHP, WMS, XLSX"
"Entidad Estatal de Seguros Agrarios";1;1;"HTML"
"Fondo Español de Garantía Agraria";12;97;"HTML, PDF, XLS"
"Fondo de Garantía Salarial";4;8;"CSV, XLS"
"Fundación Española para la Ciencia y la Tecnología";14;22;"CSV, HTML, RSS"
"Fundación Lázaro Galdiano";2;2;"HTML, PDF"
"Fundación Pluralismo y Convivencia";23;30;"API, HTML, PDF, XHTML, XLS"
"Generalitat Valenciana";469;763;"CSV, KML, PDF, WMS, ZIP, plain"
"Generalitat de Catalunya";576;2135;"CSV, HTML, JSON, KML, KMZ, PDF, RDF-XML, RSS, XLS, XLSX, XML, XML-APP, ZIP, plain"
"Gobierno de Aragón";2763;12447;"CSV, Calendar, DGN, DWG, DXF, ELP, GML, HTML, JPG, JSON, KMZ, OCTET-STREAM, PC-Axis, PNG, RDF-Turtle, RSS, SCORM, SHP, XLS, XML-APP, ZIP, plain"
"Gobierno de La Rioja";330;1135;"CSV, HTML, JSON, OCTET-STREAM, XLS, XML-APP"
"Gobierno de las Islas Baleares";42;47;"CSV, KML, RDF-XML, RSS, XML-APP"
"ICEX España Exportación e Inversiones, EP E.,, M.P.";19;25;"HTML, PDF, XHTML"
"Instituto Geológico y Minero de España";2254;25079;"HTML, JPG, JSON, KMZ, MDB, PDF, SHP, WMS, XLS, XML, ZIP"
"Instituto Nacional de Administración Pública";5;5;"HTML, XHTML, XLS"
"Instituto Nacional de Estadística";1881;13571;"CSV, HTML, JSON, PC-Axis, XLS, XLSX"
"Instituto Nacional de Tecnologías Educativas y de Formación del Profesorado";1;4;"XLSX"
"Instituto Nacional de Técnica Aeroespacial Esteban Terradas";8;15;"HTML, PDF, XLSX"
"Instituto Nacional de la Seguridad Social";1;8;"CSV, XLSX"
"Instituto Nacional de las Artes Escénicas y de la Música";3;3;"HTML, XHTML"
"Instituto de Astrofísica de Canarias";1;1;"XHTML"
"Instituto de Estudios Fiscales";1;1;"XHTML"
"Instituto de Mayores y Servicios Sociales";13;245;"CSV, PDF, XHTML, XLS, ZIP"
"Instituto de Salud Carlos III";4;4;"HTML, XHTML"
"Instituto de Turismo de España";5;5;"HTML, XHTML"
"Instituto de Turismo de la Región de Murcia (ITREM)";67;201;"CSV, JSON, RDF-XML"
"Jefatura Central de Tráfico";13;22;"CSV, HTML, PC-Axis, PDF, XLS, plain"
"Junta de Andalucía";388;1210;"Atom, CSV, HTML, JSON, KML, OCTET-STREAM, ODS, PDF, RDF-Turtle, RDF-XML, WMS-XML, XLS, ZIP"
"Junta de Castilla y León";506;701;"CSV, Calendar, ECW, GML, JPG, JSON, KML, OCTET-STREAM, RDF-XML, RSS, SHP, TIFF, WMS, XLSX, XML-APP, plain"
"Mercados Centrales de Abastecimiento S.A.";1;1;"HTML"
"Ministerio de Agricultura y Pesca,, Alimentación y Medio Ambiente";89;158;"ASCII, HTML, KMZ, MDB, PDF, RSS, SHP, XHTML, XLS"
"Ministerio de Agricultura,, Pesca y Alimentación";3;3;"HTML, XLS"
"Ministerio de Asuntos Exteriores y de Cooperación";15;20;"CSV, PDF, XHTML, XLS"
"Ministerio de Ciencia,, Innovación y Universidades";2;2;"HTML, XHTML"
"Ministerio de Defensa";3;5;"HTML, PDF, XHTML"
"Ministerio de Economía y Empresa";9;10;"HTML, XHTML, XLS"
"Ministerio de Educación,, Cultura y Deporte";35;50;"CSV, HTML, PC-Axis, SPARQL, XHTML, XLS, ZIP"
"Ministerio de Energía,, Turismo y Agenda Digital";27;150;"CSV, HTML, JSON, KML, ODS, PDF, PNG, XLS, XLSX, XML-APP"
"Ministerio de Hacienda";110;187;"Atom, CSV, DBF, HTML, MDB, PC-Axis, PDF, RSS, SHP, XBRL, XHTML, XLS, XML, XML-APP, ZIP"
"Ministerio de Industria,, Comercio y Turismo";2;3;"HTML, XHTML, XLS"
"Ministerio de Justicia";26;35;"API, CSV, HTML, PDF, RSS, XLSX, XML"
"Ministerio de Política Territorial y Función Pública";67;144;"HTML, ODS, PDF, RDF-XML, XHTML, XLS, XLSX"
"Ministerio de Sanidad,, Consumo y Bienestar Social";14;22;"CSV, HTML, MDB, PDF, XHTML"
"Ministerio de Trabajo,, Migraciones y Seguridad Social";10;14;"HTML, PDF, XHTML, XLS"
"Ministerio de la Presidencia,, Relaciones con las Cortes e Igualdad";30;191;"CSV, HTML, PDF, RSS, TIFF, XHTML, XLS, XLSX, XML, XML-APP, ePub"
"Ministerio del Interior";86;147;"CSV, HTML, PDF, XHTML, XLS, XLSX, ZIP"
"Ministerio para la Transición Ecológica";10;46;"HTML, PDF, SPARQL, TURTLE, XHTML, XLS"
"Oficina Española de Patentes y Marcas";18;29;"HTML, PDF, XHTML, XML-APP, plain"
"Organismo Autónomo Parques Nacionales";12;19;"HTML, SHP"
"Parlamento de Canarias";124;248;"CSV, JSON"
"Puertos del Estado";10;14;"ASCII, HTML, PDF, XHTML, XLS"
"Real Patronato sobre Discapacidad";3;5;"PDF, XHTML"
"Red.es";33;89;"Atom, CSV, ODS, PDF, RDF-XML, XBRL, XHTML, XLS, ZIP"
"Región de Murcia";488;917;"CSV, HTML, JSON, KML, RDF-XML, XLS, XLSX, XML-APP, plain"
"S. de E. de la Seguridad Social";2;10;"CSV, PDF, XLSX"
"Servicio Público de Empleo Estatal";4;152;"CSV, XLS"
"Sociedad Estatal de Participaciones Industriales";17;17;"HTML, PDF"
"Sociedad Estatal para la Gestión de la Innovación y las Tecnologías Turísticas,, S.A.";1;1;"XHTML"
"Tesorería General de la Seguridad Social";1;2;"CSV, XLSX"
"Trabajo Penitenciario y Formación para el Empleo";4;4;"CSV"
"Universidad Pablo de Olavide";13;127;"CSV, RDF-XML"
"Universidad de Castilla-La Mancha";12;24;"CSV, HTML"
"Universidad de Extremadura";104;526;"CSV, GeoJSON, JSON, RDF-Turtle, SPARQL, XLS, XLSX"
"Universidad de Zaragoza";94;376;"CSV, HTML, JSON, XML-APP"
"Xunta de Galicia";323;442;"API, CSV, Calendar, HTML, JSON, KML, KMZ, ODS, PDF, RDF-XML, RSS, SPARQL-XML, WFS, XHTML, XLS, XML-APP, ZIP, plain"
